person;distance;unsharedDistance;distanceDetour;time;unsharedTime;timeDetour
31123050722-2;6139.8225647110285;6139.8225647110285;1.0;844.0;496.64369931628454;1.6994074447373664
42138034511-2;17927.148419082754;18273.59135528574;0.9810413328465521;1783.0;957.9790432760365;1.8612098171820217
31157257721-2;10725.55406470129;10725.55406470129;1.0;1311.0;866.434860106526;1.5130970144008469
31154068112-2;6640.884875514928;6084.406653816483;1.0914597352478719;1330.0;473.7453905685326;2.8074151780218757
02174009401-2;5625.072420050661;5625.072420050661;1.0;682.0;442.80488016154794;1.5401817607592463
31157250981-2;8472.71432282663;8472.71432282663;1.0;1095.0;684.3556193662464;1.6000453112579605
31124053591-3;1562.6168192123653;947.5567411124302;1.6491010526481564;457.0;123.5636174482763;3.6984996833011956
31132032471-2;9039.758271004883;9039.758271004883;1.0;957.0;658.8186538309609;1.452600035586646
31155004481-2;12461.08501046175;11614.439290322098;1.0728959615678677;1850.0;925.4375475179278;1.9990543986050677
31046049361-2;2807.310042681536;2807.310042681536;1.0;597.0;337.48478035308415;1.7689686609731117
31155071241-4;4532.348362326733;4532.348362326733;1.0;768.0;331.5882003152714;2.316125843048069
31157088821-2;8468.813922479174;8259.407963005253;1.0253536283002211;1450.0;659.9569943811213;2.19711286090656
22272005851-4;22424.90857216151;16523.870838481653;1.3571219958907699;1928.0;913.1353555621259;2.1114065820100936
31123070261-3;1022.7270189426239;1022.7270189426239;1.0;454.0;156.30859833520597;2.9045107232449916
31157216601-2;8884.984269819366;8196.440610938917;1.0840052031806982;1263.0;629.9086136755245;2.0050527530182185
31105012421-2;8219.021091726816;8219.021091726816;1.0;1161.0;763.9702853427814;1.519692614064273
31123005921-3;3427.704310101329;3427.704310101329;1.0;502.0;244.91823129613817;2.0496636666995047
04434004352-1;68039.6785359069;20963.315992809617;3.24565438784801;4836.0;1338.0423003601143;3.6142355131063213
04434004353-1;14977.155936785637;14977.155936785637;1.0;1004.0;933.0930204898328;1.075991329860065
31157094581-2;11568.65700340038;11568.65700340038;1.0;1567.0;1230.742228458139;1.2732154335543693
51135038541-2;3061.3587166012385;3061.3587166012385;1.0;680.0;320.83960050008494;2.119439118301171
31172026141-2;17478.22977009724;17478.22977009724;1.0;1222.0;912.7260458029375;1.3388464212446025
31144037681-3;8651.943591105164;8651.943591105164;1.0;904.0;564.2699806494517;1.602069986001263
31124005771-3;41865.85822257624;19606.13846782275;2.1353444122250664;4785.0;1380.421264758104;3.4663331565226883
